dir,entry_idx,exit_idx,entry,exit,pnl,balance
SHORT,8643,8644,62624.0,62711.6736,-36.38097347197635,1868.13150112243
SHORT,8681,8694,63456.0,63329.088,28.040653831846683,1886.8314974486645
SHORT,8731,8740,63330.0,63203.34,28.321340776705497,1905.7186807381267
LONG,8763,8768,62902.57,62814.506402,-36.19531490325943,1859.9947724311767
LONG,8794,8799,62879.12,62791.089232000006,-35.326880712784416,1815.3679178562363
SHORT,8877,8879,63210.01,63298.504014000006,-34.5046980146945,1771.7863802522606
LONG,8926,8953,62864.01,62989.738020000004,26.55907783998203,1789.4865261909815
SHORT,8991,9002,63024.75,62898.7005,26.860192758126907,1807.3992863181536
LONG,9139,9143,62003.14,62127.14628,27.092915301909535,1825.4552051884723
SHORT,9162,9163,62008.01,62094.821214,-34.696427085017646,1781.6315020775123
SHORT,9231,9232,62042.02,62128.878828,-33.86346995998842,1738.8598746071364
LONG,9288,9296,61121.52,61035.949872,-33.026165598413165,1697.1394096356876
LONG,9359,9360,60380.0,60295.468,-32.233768807210396,1656.4199437802986
LONG,9379,9380,60343.89,60464.57778,24.82973495726673,1672.9675790186639
SHORT,9398,9399,60071.05,60155.149470000004,-31.79809477440802,1632.8046463491623
LONG,9414,9415,60611.98,60527.123228000004,-31.01185864810942,1593.628764469307
LONG,9476,9479,60117.64,60237.87528,23.888495179395125,1609.5491158263555
LONG,9548,9556,59048.0,58965.332800000004,-30.570166356888944,1570.931203890335
LONG,9635,9636,57858.15,57973.8663,23.548258746316133,1586.6248066171995
SHORT,9725,9726,58052.36,58133.633304,-30.15697769937368,1548.5347048847398
SHORT,9731,9732,58118.48,58199.845872000005,-29.432999135744815,1511.3590322245711
SHORT,9776,9777,58171.99,58253.430786000004,-28.726401125494107,1475.0758359379543
LONG,9862,9863,54749.99,54673.340014,-28.016115351968683,1439.6843414062957
LONG,9888,9889,54415.04,54338.858944,-27.34392469633011,1405.1419950029342
LONG,9896,9899,54219.99,54144.082014,-26.6878619110903,1371.4284231168292
LONG,9909,9910,54525.99,54449.653614,-26.04754004025678,1338.5237409609883
SHORT,10011,10012,56033.98,56112.42757200001,-25.4413207444466,1306.3898015117368
SHORT,10022,10023,56367.48,56446.39447200001,-24.830550957334513,1275.0273015468435
SHORT,10034,10037,56490.0,56377.02,19.138159796218844,1287.7903248353282
LONG,10053,10054,56532.97,56646.03594,19.303976969281663,1300.655350180433
SHORT,10093,10094,56418.67,56497.656138,-24.72155624087954,1269.4305171886513
SHORT,10165,10166,56529.79,56608.931706,-24.12806584020518,1238.955298762503
SHORT,10192,10196,56472.5,56551.5615,-23.548823363579647,1209.2116989051108
SHORT,10232,10233,56671.64,56558.29672,18.15026760056592,1221.3159080111511
SHORT,10263,10264,56972.0,57051.760800000004,-23.213551463568734,1191.9957770075266
SHORT,10305,10315,57814.0,57894.939600000005,-22.656263733583124,1163.379534388906
SHORT,10409,10417,57960.02,57844.09996,17.46232681117693,1175.0249635281384
LONG,10476,10479,57650.45,57569.73937,-22.317249132288733,1146.832589578209
SHORT,10499,10503,57534.0,57418.932,17.21395716956878,1158.312383799887
LONG,10517,10518,57562.06,57481.473116,-21.999827105510576,1130.520994775377
LONG,10555,10556,56831.1,56944.7622,16.946509711682673,1141.8148995131828
LONG,10614,10621,57211.11,57131.014446,-21.68649038645379,1114.419334629163
SHORT,10625,10626,56365.99,56253.25802,16.72743421278311,1125.5746721688001
LONG,10688,10689,55388.0,55310.4568,-21.378039748502037,1098.5687590594541
SHORT,10785,10786,57394.87,57280.08026,16.48951707348244,1109.5654323376393
LONG,10812,10813,57151.1,57265.4022,16.632385830740876,1120.649991006692
SHORT,10822,10823,56856.01,56935.60841400001,-21.30019437906564,1093.7465466725928
LONG,10869,10871,56166.0,56278.332,16.395260734622585,1104.6730746738524
SHORT,10907,10910,56256.02,56334.778428,-20.996521130326112,1078.1531881701571
SHORT,10943,10945,56681.86,56761.21460400001,-20.492457647551586,1052.2699645817547
LONG,11048,11049,57728.0,57843.456,15.773526769080195,1062.7821415279261
SHORT,11065,11067,57623.99,57508.74202,15.95235994433419,1073.4205907646206
SHORT,11182,11183,57775.85,57856.73619,-20.402505168664025,1047.6509826421334
SHORT,11208,11214,57800.01,57880.930014000005,-19.91270222707957,1022.5000255018431
LONG,11218,11219,58127.94,58046.560884000006,-19.420342984355877,997.967182389978
SHORT,11238,11240,57620.01,57700.678014000005,-18.96836223568676,974.0089842423414
LONG,11264,11266,57730.0,57845.46,14.600394673792552,983.7393339949223
SHORT,11325,11328,58907.39,58989.860346,-18.6979335212418,960.1227038037059
LONG,11496,11497,57434.41,57549.27882000001,14.392239330018105,969.7143296147055
SHORT,11524,11525,57505.86,57586.368204000006,-18.43136026298759,946.4343977036444
LONG,11578,11581,57751.82,57867.32364,14.187051621578059,955.8892773367043
SHORT,11626,11627,58086.01,58167.330414000004,-18.168587494339008,932.9412434556817
SHORT,11752,11753,57649.71,57534.410579999996,14.003448064270271,942.2799853026736
LONG,11774,11775,57568.82,57488.223652,-17.896723760853536,919.6718616153066
LONG,11787,11789,57352.01,57466.71402,13.785881205613029,928.8593835128431
LONG,11873,11877,57068.0,56988.1048,-17.64182627105927,906.5732603242196
SHORT,11901,11903,56924.78,57004.474692,-17.231237958983172,884.8091560636153
SHORT,11925,11926,57084.3,56970.131400000006,13.280985432514434,893.6660957158116
SHORT,12011,12012,58052.15,58133.423010000006,-16.985911481271113,872.2118537559613
LONG,12071,12074,57583.01,57698.17602,13.074455687801397,880.9252501749829
LONG,12163,12166,57901.88,58017.68376,13.205069500123379,889.7256934242314
SHORT,12192,12201,58170.33,58053.98934,13.354782658297966,898.6318476154082
SHORT,12205,12206,57914.18,57995.259852,-17.08029552762646,877.0583928497047
LONG,12212,12215,58335.33,58452.000660000005,13.147105308817585,885.8202061942737
SHORT,12267,12271,58510.0,58591.914000000004,-16.836784659135215,864.5543205041671
SHORT,12296,12299,58735.7,58618.228599999995,12.976960350767872,873.2085092524142
LONG,12355,12364,58662.0,58579.8732,-16.584849216230833,852.2576174899212
LONG,12372,12373,59464.53,59381.279658,-16.186928928985985,831.8094004734857
SHORT,12412,12413,59512.01,59392.985980000005,12.485459101106613,840.1358125722248
LONG,12434,12435,59584.0,59703.168,12.593635830457348,848.5287693398211
SHORT,12467,12468,59834.06,59917.827684,-16.127986318842808,828.1581391742792
SHORT,12507,12512,60108.0,59987.784,12.430653669005977,836.4480021474138
LONG,12564,12565,60012.0,59927.9832,-15.886656904785497,816.3791052318913
SHORT,12584,12586,59996.0,60079.9944,-15.516917653142997,796.780292052589
SHORT,12593,12595,59964.03,60047.979642000006,-15.14440301104447,777.6519875812816
LONG,12609,12620,60014.0,59929.9804,-14.769944200131233,758.993783443244
LONG,12633,12636,60148.0,60063.7928,-14.415568928937168,740.7832455970905
SHORT,12730,12731,62486.01,62573.49041400001,-14.080067149064506,722.9992622200406
LONG,12798,12801,62743.33,62655.48933800001,-13.731924987344662,705.6523409215957
LONG,12823,12824,62771.27,62683.390222,-13.402454911123304,688.7216243058645
SHORT,12975,12976,64659.99,64750.513986000005,-13.090531913182359,672.1874842711528
LONG,13072,13073,63092.01,63003.681186,-12.76685688876205,656.059689961035
SHORT,13128,13129,63419.99,63293.15002,9.847455946314826,662.6268474575447
SHORT,13168,13172,64356.0,64446.0984,-12.594548489625819,646.7191647306312
SHORT,13212,13213,64651.82,64742.332548000006,-12.292191164035716,631.1933777429424
LONG,13240,13241,65063.0,64971.9118,-11.98825582347154,616.0491550307562
LONG,13296,13297,65701.66,65833.06332,9.234576833910811,622.2034860895133
SHORT,13321,13325,65708.01,65576.59397999999,9.339274326203995,628.4317429852697
SHORT,13499,13500,64562.47,64433.34506,9.432760462209046,634.7223447325523
SHORT,13591,13592,64620.0,64710.468,-12.064167606331695,619.4845654025578
